kernel,scoring_method,ori_mean_score,ori_std,scale_mean_score,scale_std_score,norm_mean_score,norm_std_score,bin_mean_score,bin_std_score,rowsm_mean_score,rowsm_std_score,fullsm_mean_score,fullsm_std_score
linear,accuracy,0.424449275362,0.233951438043,0.421492753623,0.265918801655,0.565463768116,0.012794434045,0.40865942029,0.257400600841,0.565463768116,0.012794434045,0.565463768116,0.012794434045
linear,average_precision,0.532186078827,0.208753019049,0.525589931081,0.225208269494,0.47742926688,0.244666954153,0.525566044722,0.242387990476,0.782731884058,0.00639721702252,0.722851647415,0.244846184007
linear,f1,0.453738914594,0.270083542019,0.427234392419,0.349254859821,0.722402159244,0.0103577164112,0.427052614053,0.378705634476,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112
linear,f1_micro,0.424449275362,0.233951438043,0.421492753623,0.265918801655,0.565463768116,0.012794434045,0.40865942029,0.257400600841,0.565463768116,0.012794434045,0.565463768116,0.012794434045
linear,f1_macro,0.376128716556,0.228945730251,0.368728333579,0.219347162016,0.361201079622,0.00517885820561,0.374134657613,0.226568596312,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561
linear,f1_weighted,0.38613517494,0.208364426601,0.376226890169,0.211237998933,0.408525376988,0.0152313374051,0.380629966652,0.233450826369,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051
linear,f1_samples,,,,,,,,
linear,log_loss,,,,,,,,
linear,precision,0.51917553061,0.248741823076,0.538197802198,0.420697254802,0.565463768116,0.012794434045,0.448012432012,0.262676746163,0.565463768116,0.012794434045,0.565463768116,0.012794434045
linear,recall,0.465384615385,0.473243770912,0.443406593407,0.566484315878,1.0,0.0,0.444505494505,0.537056925556,1.0,0.0,1.0,0.0
linear,roc_auc,0.417092907093,0.356384994159,0.393311688312,0.377708235566,0.32034965035,0.365905404419,0.411003996004,0.338318534489,0.5,0.0,0.470384615385,0.137864095673
poly,accuracy,0.416449275362,0.224627367692,0.432463768116,0.266726143336,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045
poly,average_precision,0.528888396405,0.1973721185,0.458171083376,0.1070471768,0.782731884058,0.00639721702252,0.499048452875,0.237727695586,0.782731884058,0.00639721702252,0.782731884058,0.00639721702252
poly,f1,0.43667327579,0.318812355353,0.535730961731,0.380573932057,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112
poly,f1_micro,0.416449275362,0.224627367692,0.432463768116,0.266726143336,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045
poly,f1_macro,0.361159587363,0.203938879103,0.336158649685,0.168411753306,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561
poly,f1_weighted,0.370885506074,0.188459254028,0.361746353943,0.181610921282,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051
poly,f1_samples,,,,,,,,
poly,log_loss,,,,,,,,
poly,precision,0.536853264383,0.373375556693,0.46862147635,0.232654291245,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045
poly,recall,0.458241758242,0.519472296869,0.658791208791,0.621019142044,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
poly,roc_auc,0.406988011988,0.355566628381,0.307512487512,0.25418469284,0.5,0.0,0.330734265734,0.3274290112,0.5,0.0,0.5,0.0
rbf,accuracy,0.428463768116,0.241038124457,0.445507246377,0.230896010931,0.565463768116,0.012794434045,0.556949275362,0.0271517358779,0.565463768116,0.012794434045,0.565463768116,0.012794434045
rbf,average_precision,0.466853230549,0.153502152173,0.463228692923,0.143179379343,0.500738557263,0.258563930345,0.499510885262,0.24110955875,0.782731884058,0.00639721702252,0.711264523218,0.295651576623
rbf,f1,0.497321627648,0.424316159223,0.520821758213,0.373131045479,0.722402159244,0.0103577164112,0.715337425337,0.0227563204866,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112
rbf,f1_micro,0.428463768116,0.241038124457,0.445507246377,0.230896010931,0.565463768116,0.012794434045,0.556949275362,0.0271517358779,0.565463768116,0.012794434045,0.565463768116,0.012794434045
rbf,f1_macro,0.332448861525,0.126635771804,0.348125145516,0.128489131845,0.361201079622,0.00517885820561,0.357668712669,0.0113781602433,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561
rbf,f1_weighted,0.353530122856,0.145199207445,0.370207323773,0.131512310302,0.408525376988,0.0152313374051,0.404470419775,0.0126890320136,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051
rbf,f1_samples,,,,,,,,
rbf,log_loss,,,,,,,,
rbf,precision,0.457877799736,0.21867549558,0.499748682477,0.215738015174,0.565463768116,0.012794434045,0.561675889328,0.0117781361797,0.565463768116,0.012794434045,0.565463768116,0.012794434045
rbf,recall,0.605494505495,0.686277593363,0.628021978022,0.656073406669,1.0,0.0,0.985164835165,0.0593915126016,1.0,0.0,1.0,0.0
rbf,roc_auc,0.309085914086,0.303732602233,0.298471528472,0.281875343951,0.345574425574,0.359420898741,0.33534965035,0.345294032578,0.5,0.0,0.467005494505,0.0924764450405
sigmoid,accuracy,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045
sigmoid,average_precision,0.782731884058,0.00639721702252,0.782731884058,0.00639721702252,0.782731884058,0.00639721702252,0.782731884058,0.00639721702252,0.782731884058,0.00639721702252,0.782731884058,0.00639721702252
sigmoid,f1,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112
sigmoid,f1_micro,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045
sigmoid,f1_macro,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561
sigmoid,f1_weighted,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051
sigmoid,f1_samples,,,,,,,,
sigmoid,log_loss,,,,,,,,
sigmoid,precision,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045
sigmoid,recall,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
sigmoid,roc_auc,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
precomputed,accuracy,,,,,,,,
precomputed,average_precision,,,,,,,,
precomputed,f1,,,,,,,,
precomputed,f1_micro,,,,,,,,
precomputed,f1_macro,,,,,,,,
precomputed,f1_weighted,,,,,,,,
precomputed,f1_samples,,,,,,,,
precomputed,log_loss,,,,,,,,
precomputed,precision,,,,,,,,
precomputed,recall,,,,,,,,
precomputed,roc_auc,,,,,,,,
