kernel,scoring_method,ori_mean_score,ori_std,scale_mean_score,scale_std_score,norm_mean_score,norm_std_score,bin_mean_score,bin_std_score,rowsm_mean_score,rowsm_std_score,fullsm_mean_score,fullsm_std_score
linear,accuracy,0.458369565217,0.27897349306,0.450731884058,0.279940315675,0.565463768116,0.012794434045,0.45802173913,0.229818244121,0.565463768116,0.012794434045,0.565463768116,0.012794434045
linear,average_precision,0.560630331087,0.222548669378,0.586314888244,0.262610569986,0.489191935616,0.245103791018,0.512353945439,0.194699160878,0.782731884058,0.00639721702252,0.784404124861,0.0118298941281
linear,f1,0.495411770597,0.414369613265,0.481484949833,0.33903840937,0.722402159244,0.0103577164112,0.491528919529,0.342059313512,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112
linear,f1_micro,0.458369565217,0.27897349306,0.450731884058,0.279940315675,0.565463768116,0.012794434045,0.45802173913,0.229818244121,0.565463768116,0.012794434045,0.565463768116,0.012794434045
linear,f1_macro,0.395967617527,0.246651140011,0.414526191507,0.262621117431,0.361201079622,0.00517885820561,0.40829486613,0.226822192734,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561
linear,f1_weighted,0.408639257281,0.25036540912,0.422864721809,0.258825573171,0.408525376988,0.0152313374051,0.419444787164,0.219290208692,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051
linear,f1_samples,,,,,,,,
linear,log_loss,,,,,,,,
linear,precision,0.551392283155,0.391694637951,0.547204163484,0.398089043964,0.565463768116,0.012794434045,0.519218954248,0.295983769374,0.565463768116,0.012794434045,0.565463768116,0.012794434045
linear,recall,0.556593406593,0.619609710783,0.497252747253,0.500434541279,1.0,0.0,0.521978021978,0.537226662047,1.0,0.0,1.0,0.0
linear,roc_auc,0.46006993007,0.374673888833,0.450609390609,0.395744959336,0.348206793207,0.364084793515,0.405064935065,0.340737787482,0.5,0.0,0.503846153846,0.0230769230769
poly,accuracy,0.458898550725,0.298180358424,0.453507246377,0.237301952713,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045
poly,average_precision,0.529381422886,0.182127336436,0.467367397895,0.135937803796,0.782731884058,0.00639721702252,0.495696035631,0.211945882028,0.782731884058,0.00639721702252,0.782731884058,0.00639721702252
poly,f1,0.49266829675,0.418852696197,0.577685925047,0.296684533315,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112
poly,f1_micro,0.458898550725,0.298180358424,0.453507246377,0.237301952713,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045
poly,f1_macro,0.40530153606,0.275399151854,0.347947902393,0.134791765793,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561
poly,f1_weighted,0.416318153287,0.278355529525,0.377434107999,0.141573003697,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051
poly,f1_samples,,,,,,,,
poly,log_loss,,,,,,,,
poly,precision,0.551035650624,0.407111606776,0.495236024845,0.161922224294,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045
poly,recall,0.541758241758,0.597648655136,0.719230769231,0.539614150994,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
poly,roc_auc,0.420104895105,0.344181496067,0.323031968032,0.313854700219,0.5,0.0,0.343346653347,0.326631438656,0.5,0.0,0.5,0.0
rbf,accuracy,0.431768115942,0.265580041916,0.44515942029,0.246418929051,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045
rbf,average_precision,0.485859656054,0.19737250335,0.472977278278,0.134006393901,0.514829554515,0.259682929882,0.503877035638,0.231945193692,0.782731884058,0.00639721702252,0.782731884058,0.00639721702252
rbf,f1,0.518473987365,0.393255478279,0.523044612646,0.381340360656,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112
rbf,f1_micro,0.431768115942,0.265580041916,0.44515942029,0.246418929051,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045
rbf,f1_macro,0.332960251102,0.144085304587,0.345124018621,0.137474061647,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561
rbf,f1_weighted,0.356678071526,0.15611665961,0.367869031723,0.142341662775,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051
rbf,f1_samples,,,,,,,,
rbf,log_loss,,,,,,,,
rbf,precision,0.469236651411,0.210205633148,0.49871113307,0.225199916143,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045
rbf,recall,0.634615384615,0.673461428634,0.635164835165,0.667354232245,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
rbf,roc_auc,0.343921078921,0.325623268584,0.329450549451,0.306243938576,0.38000999001,0.381013820439,0.34991008991,0.343665302023,0.5,0.0,0.5,0.0
sigmoid,accuracy,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045
