kernel,scoring_method,ori_mean_score,ori_std,scale_mean_score,scale_std_score,norm_mean_score,norm_std_score,bin_mean_score,bin_std_score,rowsm_mean_score,rowsm_std_score,fullsm_mean_score,fullsm_std_score
linear,accuracy,0.462384057971,0.213674196514,0.422050724638,0.194581461552,0.565463768116,0.012794434045,0.548253623188,0.134190290358,0.565463768116,0.012794434045,0.565463768116,0.012794434045
linear,average_precision,0.531755948313,0.242661693423,0.510505229983,0.134346395287,0.548429997487,0.277977072074,0.592443712175,0.225170832093,0.602178588509,0.255478487605,0.782731884058,0.00639721702252
linear,f1,0.548023180634,0.256356936803,0.465294417234,0.275081458529,0.722402159244,0.0103577164112,0.662978477835,0.117197376972,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112
linear,f1_micro,0.462384057971,0.213674196514,0.422050724638,0.194581461552,0.565463768116,0.012794434045,0.548253623188,0.134190290358,0.565463768116,0.012794434045,0.565463768116,0.012794434045
linear,f1_macro,0.39478571815,0.21486262616,0.385330725451,0.206347480488,0.361201079622,0.00517885820561,0.468728535569,0.186221325705,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561
linear,f1_weighted,0.414801944271,0.197207785663,0.395803181517,0.194622172933,0.408525376988,0.0152313374051,0.493803515407,0.169111382427,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051
linear,f1_samples,,,,,,,,
linear,log_loss,,,,,,,,
linear,precision,0.533452900299,0.236242176425,0.483816481002,0.168146286321,0.565463768116,0.012794434045,0.575600773906,0.0956055209308,0.565463768116,0.012794434045,0.565463768116,0.012794434045
linear,recall,0.621428571429,0.466494841887,0.481868131868,0.414448914134,1.0,0.0,0.796703296703,0.257996142256,1.0,0.0,1.0,0.0
linear,roc_auc,0.397827172827,0.339087844646,0.368941058941,0.218743654031,0.411048951049,0.397055826412,0.494215784216,0.228916429585,0.479525474525,0.345624069545,0.5,0.0
poly,accuracy,0.565463768116,0.012794434045,0.522528985507,0.127344956202,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045
poly,average_precision,0.5489168931,0.177665681213,0.500105405449,0.169731002292,0.782731884058,0.00639721702252,0.616613483165,0.17917247501,0.782731884058,0.00639721702252,0.782731884058,0.00639721702252
poly,f1,0.722402159244,0.0103577164112,0.677802067214,0.124579731946,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112
poly,f1_micro,0.565463768116,0.012794434045,0.522528985507,0.127344956202,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045
poly,f1_macro,0.361201079622,0.00517885820561,0.361817700274,0.0846031276934,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561
poly,f1_weighted,0.408525376988,0.0152313374051,0.40304802302,0.0815524219186,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051
poly,f1_samples,,,,,,,,
poly,log_loss,,,,,,,,
poly,precision,0.565463768116,0.012794434045,0.544768968457,0.0660304107208,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045
poly,recall,1.0,0.0,0.901648351648,0.254719965053,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
poly,roc_auc,0.444248251748,0.256691266548,0.375104895105,0.277141269079,0.5,0.0,0.530487012987,0.146888134989,0.5,0.0,0.5,0.0
rbf,accuracy,0.565463768116,0.012794434045,0.492623188406,0.211048589776,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045
rbf,average_precision,0.543666550538,0.281543983807,0.495699317311,0.218410347774,0.603100792445,0.270150172481,0.628529982942,0.161458358006,0.782731884058,0.00639721702252,0.782731884058,0.00639721702252
rbf,f1,0.722402159244,0.0103577164112,0.638652463641,0.207361565708,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112
rbf,f1_micro,0.565463768116,0.012794434045,0.492623188406,0.211048589776,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045
rbf,f1_macro,0.361201079622,0.00517885820561,0.366548454043,0.180430239098,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561
rbf,f1_weighted,0.408525376988,0.0152313374051,0.401999781746,0.174733551736,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051
rbf,f1_samples,,,,,,,,
rbf,log_loss,,,,,,,,
rbf,precision,0.565463768116,0.012794434045,0.527674400195,0.132439120637,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045
