GMT_time,Open,High,Low,Close,Volume
01.09.2015 00:00:00.000,16526.000,16526.000,16526.000,16526.000,0.0000
01.09.2015 01:00:00.000,16526.000,16526.000,16526.000,16526.000,0.0000
01.09.2015 02:00:00.000,16526.000,16526.000,16526.000,16526.000,0.0000
01.09.2015 03:00:00.000,16526.000,16526.000,16526.000,16526.000,0.0000
01.09.2015 04:00:00.000,16526.000,16526.000,16526.000,16526.000,0.0000
01.09.2015 05:00:00.000,16526.000,16526.000,16526.000,16526.000,0.0000
01.09.2015 06:00:00.000,16252.340,16288.330,16238.140,16287.390,2.8500
01.09.2015 07:00:00.000,16287.510,16320.060,16175.150,16179.490,1.9029
01.09.2015 08:00:00.000,16179.490,16207.990,16120.830,16126.520,2.0189
01.09.2015 09:00:00.000,16125.220,16190.500,16122.570,16173.500,1.5990
01.09.2015 10:00:00.000,16173.500,16234.350,16170.670,16214.140,1.1590
01.09.2015 11:00:00.000,16214.140,16243.330,16186.740,16199.190,1.2476
01.09.2015 12:00:00.000,16199.130,16210.660,16077.970,16082.650,2.2584
01.09.2015 13:00:00.000,16081.700,16262.590,16074.400,16195.670,5.7161
01.09.2015 14:00:00.000,16195.430,16250.770,16120.800,16186.420,8.1162
01.09.2015 15:00:00.000,16187.240,16247.340,16152.420,16191.000,7.6091
01.09.2015 16:00:00.000,16190.830,16208.670,16094.450,16098.170,7.3820
01.09.2015 17:00:00.000,16098.210,16160.000,16083.610,16148.680,8.2008
01.09.2015 18:00:00.000,16148.680,16171.720,16072.190,16110.000,8.1143
01.09.2015 19:00:00.000,16111.000,16122.850,15975.810,16053.000,8.1894
01.09.2015 20:00:00.000,16049.000,16050.000,16028.000,16028.000,0.0010
01.09.2015 21:00:00.000,16028.000,16028.000,16028.000,16028.000,0.0000
01.09.2015 22:00:00.000,16028.000,16028.000,16028.000,16028.000,0.0000
01.09.2015 23:00:00.000,16028.000,16028.000,16028.000,16028.000,0.0000
02.09.2015 00:00:00.000,16028.000,16028.000,16028.000,16028.000,0.0000
02.09.2015 01:00:00.000,16028.000,16028.000,16028.000,16028.000,0.0000
02.09.2015 02:00:00.000,16028.000,16028.000,16028.000,16028.000,0.0000
02.09.2015 03:00:00.000,16028.000,16028.000,16028.000,16028.000,0.0000
02.09.2015 04:00:00.000,16028.000,16028.000,16028.000,16028.000,0.0000
02.09.2015 05:00:00.000,16028.000,16028.000,16028.000,16028.000,0.0000
02.09.2015 06:00:00.000,16231.320,16288.540,16205.430,16208.430,4.1424
02.09.2015 07:00:00.000,16209.150,16275.000,16208.430,16236.480,4.8186
02.09.2015 08:00:00.000,16236.480,16242.130,16144.110,16173.230,4.5722
02.09.2015 09:00:00.000,16173.230,16207.490,16147.700,16205.990,4.2749
02.09.2015 10:00:00.000,16206.190,16242.740,16170.340,16182.600,2.9790
02.09.2015 11:00:00.000,16181.000,16231.430,16177.820,16225.370,2.2165
02.09.2015 12:00:00.000,16225.500,16275.230,16187.170,16269.040,2.6500
02.09.2015 13:00:00.000,16268.900,16316.000,16211.780,16227.100,5.3894
02.09.2015 14:00:00.000,16227.100,16261.800,16130.440,16176.080,6.2637
02.09.2015 15:00:00.000,16176.130,16236.000,16140.680,16165.840,6.7913
02.09.2015 16:00:00.000,16165.840,16267.000,16149.060,16257.510,5.9815
02.09.2015 17:00:00.000,16257.510,16286.170,16234.020,16251.290,5.3699
02.09.2015 18:00:00.000,16251.290,16297.000,16209.390,16262.630,5.5238
02.09.2015 19:00:00.000,16262.770,16350.000,16196.870,16349.800,4.5929
02.09.2015 20:00:00.000,16349.800,16349.800,16347.000,16347.000,0.0013
02.09.2015 21:00:00.000,16347.000,16347.000,16347.000,16347.000,0.0000
02.09.2015 22:00:00.000,16347.000,16347.000,16347.000,16347.000,0.0000
02.09.2015 23:00:00.000,16347.000,16347.000,16347.000,16347.000,0.0000
03.09.2015 00:00:00.000,16347.000,16347.000,16347.000,16347.000,0.0000
03.09.2015 01:00:00.000,16347.000,16347.000,16347.000,16347.000,0.0000
03.09.2015 02:00:00.000,16347.000,16347.000,16347.000,16347.000,0.0000
03.09.2015 03:00:00.000,16347.000,16347.000,16347.000,16347.000,0.0000
03.09.2015 04:00:00.000,16347.000,16347.000,16347.000,16347.000,0.0000
03.09.2015 05:00:00.000,16347.000,16347.000,16347.000,16347.000,0.0000
03.09.2015 06:00:00.000,16345.770,16379.000,16338.000,16357.530,2.5193
03.09.2015 07:00:00.000,16357.530,16425.000,16344.240,16412.100,3.5589
03.09.2015 08:00:00.000,16412.100,16427.130,16393.300,16421.960,2.7602
03.09.2015 09:00:00.000,16421.960,16450.000,16398.880,16417.000,2.9734
03.09.2015 10:00:00.000,16412.610,16434.000,16401.800,16406.600,2.8469
03.09.2015 11:00:00.000,16406.210,16419.550,16384.120,16406.070,3.6190
03.09.2015 12:00:00.000,16406.100,16523.000,16399.270,16442.580,5.2124
03.09.2015 13:00:00.000,16442.580,16477.000,16394.270,16448.040,6.4329
03.09.2015 14:00:00.000,16448.040,16544.320,16420.240,16538.420,6.5785
03.09.2015 15:00:00.000,16538.530,16552.000,16464.380,16487.820,7.2846
03.09.2015 16:00:00.000,16487.780,16494.110,16425.900,16440.580,5.4903
03.09.2015 17:00:00.000,16440.980,16441.980,16356.740,16357.070,6.3443
03.09.2015 18:00:00.000,16357.020,16429.150,16336.840,16399.350,6.6205
03.09.2015 19:00:00.000,16399.450,16420.000,16316.080,16370.010,7.3171
03.09.2015 20:00:00.000,16370.130,16370.130,16367.160,16367.160,0.0021
03.09.2015 21:00:00.000,16367.160,16367.160,16367.160,16367.160,0.0000
03.09.2015 22:00:00.000,16367.160,16367.160,16367.160,16367.160,0.0000
03.09.2015 23:00:00.000,16367.160,16367.160,16367.160,16367.160,0.0000
04.09.2015 00:00:00.000,16367.160,16367.160,16367.160,16367.160,0.0000
04.09.2015 01:00:00.000,16367.160,16367.160,16367.160,16367.160,0.0000
04.09.2015 02:00:00.000,16367.160,16367.160,16367.160,16367.160,0.0000
04.09.2015 03:00:00.000,16367.160,16367.160,16367.160,16367.160,0.0000
04.09.2015 04:00:00.000,16367.160,16367.160,16367.160,16367.160,0.0000
04.09.2015 05:00:00.000,16367.160,16367.160,16367.160,16367.160,0.0000
04.09.2015 06:00:00.000,16240.930,16309.800,16233.680,16298.270,0.3811
04.09.2015 07:00:00.000,16298.440,16304.170,16223.090,16259.980,0.9361
04.09.2015 08:00:00.000,16259.680,16261.790,16183.490,16207.330,1.2278
04.09.2015 09:00:00.000,16207.330,16235.570,16190.000,16195.400,0.6841
04.09.2015 10:00:00.000,16195.400,16222.630,16159.220,16186.890,0.6876
04.09.2015 11:00:00.000,16187.090,16208.650,16175.500,16192.210,0.4453
04.09.2015 12:00:00.000,16192.630,16257.380,16067.000,16111.050,1.3025
04.09.2015 13:00:00.000,16111.050,16196.860,16065.000,16119.330,2.1924
04.09.2015 14:00:00.000,16119.380,16185.980,16098.000,16131.310,2.2977
04.09.2015 15:00:00.000,16131.310,16152.780,16099.000,16118.630,1.4595
04.09.2015 16:00:00.000,16118.710,16125.580,16064.500,16073.010,1.4498
04.09.2015 17:00:00.000,16073.010,16083.740,16037.650,16061.530,1.4167
04.09.2015 18:00:00.000,16061.770,16086.130,16025.940,16084.610,1.5983
04.09.2015 19:00:00.000,16084.790,16190.630,16066.220,16095.150,2.8296
04.09.2015 20:00:00.000,16095.220,16106.000,16095.220,16106.000,0.0020
04.09.2015 21:00:00.000,16106.000,16106.000,16106.000,16106.000,0.0000
04.09.2015 22:00:00.000,16106.000,16106.000,16106.000,16106.000,0.0000
04.09.2015 23:00:00.000,16106.000,16106.000,16106.000,16106.000,0.0000
05.09.2015 00:00:00.000,16106.000,16106.000,16106.000,16106.000,0.0000
05.09.2015 01:00:00.000,16106.000,16106.000,16106.000,16106.000,0.0000
05.09.2015 02:00:00.000,16106.000,16106.000,16106.000,16106.000,0.0000
05.09.2015 03:00:00.000,16106.000,16106.000,16106.000,16106.000,0.0000
05.09.2015 04:00:00.000,16106.000,16106.000,16106.000,16106.000,0.0000
05.09.2015 05:00:00.000,16106.000,16106.000,16106.000,16106.000,0.0000
05.09.2015 06:00:00.000,16106.000,16106.000,16106.000,16106.000,0.0000
05.09.2015 07:00:00.000,16106.000,16106.000,16106.000,16106.000,0.0000
05.09.2015 08:00:00.000,16106.000,16106.000,16106.000,16106.000,0.0000
05.09.2015 09:00:00.000,16106.000,16106.000,16106.000,16106.000,0.0000
